id,name
257,Kirkkonummi
091,Helsinki
235,Kauniainen
148,Inari
047,Enontekiö
498,Muonio
889,Utajärvi
494,Muhos
859,Tyrnävä
791,Siikalatva
686,Rautalampi
174,Juankoski
146,Ilomantsi
204,Kaavi
276,Kontiolahti
297,Kuopio
857,Tuusniemi
778,Suonenjoki
426,Liperi
167,Joensuu
420,Leppävirta
090,Heinävesi
848,Tohmajärvi
707,Rääkkylä
915,Varkaus
171,Joroinen
260,Kitee
681,Rantasalmi
740,Savonlinna
246,Kerimäki
248,Kesälahti
618,Punkaharju
580,Parikkala
886,Ulvila
700,Ruokolahti
689,Rautjärvi
079,Harjavalta
531,Nakkila
102,Huittinen
619,Punkalaidun
430,Loimaa
103,Humppila
169,Jokioinen
981,Ypäjä
284,Koski Tl
761,Somero
480,Marttila
838,Tarvasjoki
255,Kiiminki
208,Kalajoki
483,Merijärvi
009,Alavieska
272,Kokkola
440,Luoto
288,Kruunupyy
924,Veteli
052,Evijärvi
152,Isokyrö
408,Lapua
280,Korsnäs
145,Ilmajoki
743,Seinäjoki
545,Närpiö
010,Alavus
164,Jalasjärvi
287,Kristiinankaupunki
151,Isojoki
484,Merikarvia
747,Siikainen
608,Pomarkku
609,Pori
442,Luvia
742,Savukoski
583,Pelkosenniemi
217,Kannus
746,Sievi
849,Toholampi
236,Kaustinen
421,Lestijärvi
074,Halsua
851,Tornio
683,Ranua
751,Simo
241,Keminmaa
139,Ii
240,Kemi
972,Yli-Ii
425,Liminka
678,Raahe
785,Vaala
625,Pyhäjoki
697,Ristijärvi
578,Paltamo
926,Vihanti
765,Sotkamo
205,Kajaani
925,Vieremä
762,Sonkajärvi
598,Pietarsaari
893,Uusikaarlepyy
599,Pedersören kunta
946,Vöyri
499,Mustasaari
475,Maalahti
905,Vaasa
942,Vähäkyrö
921,Vesanto
992,Äänekoski
729,Saarijärvi
275,Konnevesi
410,Laukaa
077,Hankasalmi
892,Uurainen
593,Pieksämäki
702,Ruovesi
491,Mikkeli
182,Jämsä
178,Juva
143,Ikaalinen
177,Juupajoki
562,Orivesi
837,Tampere
980,Ylöjärvi
291,Kuhmoinen
413,Lavia
790,Sastamala
108,Hämeenkyrö
781,Sysmä
211,Kangasala
254,Kiikoinen
536,Nokia
271,Kokemäki
635,Pälkäne
576,Padasjoki
051,Eurajoki
418,Lempäälä
922,Vesilahti
684,Rauma
908,Valkeakoski
020,Akaa
887,Urjala
082,Hattula
400,Laitila
503,Mynämäki
636,Pöytyä
918,Vehmaa
538,Nousiainen
853,Turku
019,Aura
833,Taivassalo
423,Lieto
481,Masku
704,Rusko
758,Sodankylä
261,Kittilä
732,Salla
273,Kolari
698,Rovaniemi
320,Kemijärvi
614,Posio
305,Kuusamo
615,Pudasjärvi
832,Taivalkoski
777,Suomussalmi
213,Kangasniemi
850,Toivakka
172,Joutsa
435,Luhanka
097,Hirvensalmi
081,Hartola
631,Pyhäranta
895,Uusikaupunki
304,Kustavi
035,Brändö
295,Kumlinge
736,Saltvik
076,Hammarland
043,Eckerö
941,Vårdö
771,Sund
170,Jomala
766,Sottunga
438,Lumparland
417,Lemland
478,Maarianhamina
062,Föglö
084,Haukipudas
072,Hailuoto
564,Oulu
567,Oulunsalo
748,Siikajoki
436,Lumijoki
244,Kempele
